fips,state,year,no_hs,col
11000,DC,1980,-0.6000000000000014,11.3
12000,FL,1980,-0.20000000000000284,-1.299999999999999
13000,GA,1980,10.100000000000001,-1.5999999999999996
15000,HI,1980,-7.300000000000001,4.100000000000001
16000,ID,1980,-7.199999999999999,-0.3999999999999986
17000,IL,1980,0.0,0.0
18000,IN,1980,0.10000000000000142,-3.6999999999999993
19000,IA,1980,-5.0,-2.299999999999999
20000,KS,1980,-6.800000000000001,0.8000000000000007
21000,KY,1980,13.399999999999999,-5.1
22000,LA,1980,8.799999999999997,-2.299999999999999
23000,ME,1980,-2.1999999999999993,-1.799999999999999
24000,MD,1980,-0.8999999999999986,4.199999999999999
25000,MA,1980,-5.699999999999999,3.8000000000000007
26000,MI,1980,-1.5,-1.8999999999999986
27000,MN,1980,-6.600000000000001,1.1999999999999993
28000,MS,1980,11.700000000000003,-3.8999999999999986
29000,MO,1980,3.0,-2.299999999999999
30000,MT,1980,-7.899999999999999,1.3000000000000007
31000,NE,1980,-6.899999999999999,-0.6999999999999993
32000,NV,1980,-9.0,-1.799999999999999
33000,NH,1980,-5.800000000000001,2.0
34000,NJ,1980,-0.8999999999999986,2.1000000000000014
35000,NM,1980,-2.3999999999999986,1.4000000000000021
36000,NY,1980,0.20000000000000284,1.6999999999999993
37000,NC,1980,11.700000000000003,-3.0
38000,ND,1980,0.10000000000000142,-1.3999999999999986
39000,OH,1980,-0.5,-2.5
40000,OK,1980,0.5,-1.0999999999999996
41000,OR,1980,-9.100000000000001,1.6999999999999993
42000,PA,1980,1.7999999999999972,-2.5999999999999996
44000,RI,1980,5.399999999999999,-0.7999999999999989
45000,SC,1980,12.799999999999997,-2.799999999999999
46000,SD,1980,-1.3999999999999986,-2.1999999999999993
47000,TN,1980,10.299999999999997,-3.5999999999999996
48000,TX,1980,3.8999999999999986,0.6999999999999993
49000,UT,1980,-13.5,3.6999999999999993
50000,VT,1980,-4.5,2.8000000000000007
51000,VA,1980,4.100000000000001,2.900000000000002
53000,WA,1980,-11.100000000000001,2.8000000000000007
54000,WV,1980,10.5,-5.799999999999999
55000,WI,1980,-3.1000000000000014,-1.3999999999999986
56000,WY,1980,-11.399999999999999,1.0
72000,PR,1980,27.0,-6.799999999999999
01000,AL,1990,8.3,-4.600000000000001
02000,AK,1990,-11.4,2.6999999999999993
04000,AZ,1990,-3.5,0.0
05000,AR,1990,8.900000000000002,-7.0
06000,CA,1990,-1.0,3.099999999999998
08000,CO,1990,-9.200000000000001,6.699999999999999
09000,CT,1990,-4.0,6.899999999999999
10000,DE,1990,-2.3000000000000007,1.0999999999999979
11000,DC,1990,2.099999999999998,12.999999999999996
12000,FL,1990,0.8000000000000007,-2.0
13000,GA,1990,4.300000000000001,-1.0
15000,HI,1990,-4.900000000000002,2.599999999999998
16000,ID,1990,-4.5,-2.6000000000000014
17000,IL,1990,-1.0,0.6999999999999993
18000,IN,1990,-0.40000000000000213,-4.700000000000001
19000,IA,1990,-4.900000000000002,-3.400000000000002
20000,KS,1990,-6.100000000000001,0.8000000000000007
21000,KY,1990,10.599999999999998,-6.700000000000001
22000,LA,1990,6.899999999999999,-4.199999999999999
23000,ME,1990,-3.6000000000000014,-1.5
24000,MD,1990,-3.1999999999999993,6.199999999999999
25000,MA,1990,-4.800000000000001,6.899999999999999
26000,MI,1990,-1.6000000000000014,-2.900000000000002
27000,MN,1990,-7.199999999999999,1.5
28000,MS,1990,10.900000000000002,-5.600000000000001
29000,MO,1990,1.3000000000000007,-2.5
30000,MT,1990,-5.800000000000001,-0.5
31000,NE,1990,-6.600000000000001,-1.4000000000000021
32000,NV,1990,-3.6000000000000014,-5.0
33000,NH,1990,-7.0,4.099999999999998
34000,NJ,1990,-1.5,4.599999999999998
35000,NM,1990,0.09999999999999787,0.09999999999999787
36000,NY,1990,0.3999999999999986,2.8000000000000007
37000,NC,1990,5.199999999999999,-2.900000000000002
38000,ND,1990,-1.5,-2.1999999999999993
39000,OH,1990,-0.5,-3.3000000000000007
40000,OK,1990,0.5999999999999979,-2.5
41000,OR,1990,-6.300000000000001,0.3000000000000007
42000,PA,1990,0.5,-2.400000000000002
44000,RI,1990,3.1999999999999993,1.0
45000,SC,1990,6.899999999999999,-3.6999999999999993
46000,SD,1990,-1.9000000000000021,-3.1000000000000014
47000,TN,1990,8.099999999999998,-4.300000000000001
48000,TX,1990,3.099999999999998,0.0
49000,UT,1990,-9.9,2.0
50000,VT,1990,-5.600000000000001,4.0
51000,VA,1990,0.0,4.199999999999999
53000,WA,1990,-8.600000000000001,2.599999999999998
54000,WV,1990,9.2,-8.0
55000,WI,1990,-3.400000000000002,-2.6000000000000014
56000,WY,1990,-7.800000000000001,-1.5
72000,PR,1990,25.499999999999996,-6.0
01000,AL,2000,5.099999999999998,-5.399999999999999
02000,AK,2000,-7.900000000000002,0.3000000000000007
04000,AZ,2000,-0.6000000000000014,-0.8999999999999986
05000,AR,2000,5.099999999999998,-7.699999999999999
06000,CA,2000,3.599999999999998,2.200000000000003
08000,CO,2000,-6.500000000000002,8.300000000000004
09000,CT,2000,-3.6000000000000014,7.0
10000,DE,2000,-2.200000000000003,0.6000000000000014
11000,DC,2000,2.599999999999998,14.700000000000003
12000,FL,2000,0.5,-2.099999999999998
13000,GA,2000,1.7999999999999972,-0.09999999999999787
15000,HI,2000,-4.200000000000001,1.8000000000000007
16000,ID,2000,-4.300000000000001,-2.6999999999999993
17000,IL,2000,-1.0,1.7000000000000028
18000,IN,2000,-1.7000000000000028,-5.0
19000,IA,2000,-5.700000000000001,-3.1999999999999993
20000,KS,2000,-5.600000000000001,1.4000000000000021
21000,KY,2000,6.299999999999997,-7.299999999999997
22000,LA,2000,5.599999999999998,-5.699999999999999
23000,ME,2000,-5.000000000000002,-1.5
24000,MD,2000,-3.400000000000002,7.0
25000,MA,2000,-4.400000000000002,8.800000000000004
26000,MI,2000,-3.0,-2.599999999999998
27000,MN,2000,-7.500000000000002,3.0
28000,MS,2000,7.5,-7.5
29000,MO,2000,-0.9000000000000021,-2.799999999999997
30000,MT,2000,-6.800000000000001,0.0
31000,NE,2000,-6.200000000000001,-0.6999999999999993
32000,NV,2000,-0.3000000000000007,-6.199999999999999
33000,NH,2000,-7.000000000000002,4.300000000000001
34000,NJ,2000,-1.7000000000000028,5.400000000000002
35000,NM,2000,1.5,-0.8999999999999986
36000,NY,2000,1.2999999999999972,3.0
37000,NC,2000,2.299999999999997,-1.8999999999999986
